id,domain,text,x,y
1,Artes_y_Entretenimiento,El director ganó un premio en el festival de cine.,-19.31902,7.0140724
2,Artes_y_Entretenimiento,La galería presenta obras de arte contemporáneo.,-26.447731,-4.223675
3,Artes_y_Entretenimiento,El guionista escribió una nueva serie dramática.,-25.885782,10.924602
4,Artes_y_Entretenimiento,El muralista pintó la fachada del teatro local.,-24.38948,-4.0501943
5,Artes_y_Entretenimiento,El bajista tocó un solo impresionante en el concierto.,-16.230583,3.4518294
6,Artes_y_Entretenimiento,Los actores ensayan la obra de teatro clásico.,-20.538076,2.788328
7,Artes_y_Entretenimiento,Se agotaron las entradas para el musical.,-15.562995,2.1502693
8,Artes_y_Entretenimiento,El público aplaudió la coreografía de los bailarines.,-22.873268,3.0532377
9,Artes_y_Entretenimiento,La exhibición fotográfica abre el sábado por la noche.,-25.308779,-1.5753888
10,Artes_y_Entretenimiento,El saxofonista improvisó durante el jazz session.,-20.647154,0.48918068
11,Artes_y_Entretenimiento,El documental obtuvo nominación al Goya.,-20.529846,6.971856
12,Artes_y_Entretenimiento,El set de rodaje estuvo en el centro histórico.,-23.097843,-1.8702726
13,Artes_y_Entretenimiento,El violinista interpreta piezas de Mozart en recitales.,-20.201334,1.0707251
14,Artes_y_Entretenimiento,El escultor utiliza mármol en sus nuevas creaciones.,-27.589151,-8.2221985
15,Artes_y_Entretenimiento,El festival proyecta cortometrajes internacionales gratis.,-22.743078,6.2773023
16,Artes_y_Entretenimiento,El montaje de luces transformó el escenario del concierto.,-16.983461,2.3955643
17,Artes_y_Entretenimiento,El protagonista de la película sorprendió con su actuación en el estreno mundial.,-21.395971,8.290978
18,Artes_y_Entretenimiento,El arte digital ha revolucionado la exposición anual de la fundación cultural.,-26.410057,-3.471066
19,Artes_y_Entretenimiento,La crítica destacó la dirección fotográfica en la última producción de Almodóvar.,-21.921312,-4.299213
20,Artes_y_Entretenimiento,El actor invitado posó para los fotógrafos en la alfombra roja del evento.,-19.862873,8.520297
21,Artes_y_Entretenimiento,El curador organizó una retrospectiva dedicada al surrealismo francés en el museo principal.,-27.595272,-0.59086597
22,Artes_y_Entretenimiento,La escenografía del musical recreó fielmente la atmósfera de Broadway.,-18.640368,3.1150148
23,Artes_y_Entretenimiento,La canción principal del álbum recibió un Grammy el año pasado.,-16.003813,4.972664
24,Artes_y_Entretenimiento,El director de orquesta lideró a la sinfónica durante el homenaje a Verdi.,-19.882359,1.7469271
25,Artes_y_Entretenimiento,El público llenó el auditorio para escuchar el estreno mundial de la ópera.,-18.664583,2.0705407
26,Artes_y_Entretenimiento,Las pinturas impresionistas fueron trasladadas a París para una exhibición internacional.,-27.90889,-1.1322688
27,Artes_y_Entretenimiento,El cineasta rodó escenas en locaciones emblemáticas de la ciudad.,-23.070974,-2.6958187
28,Artes_y_Entretenimiento,El actor expresó su emoción durante la rueda de prensa tras recibir el galardón.,-19.40708,9.202441
29,Artes_y_Entretenimiento,La exposición de arte pop atrajo a coleccionistas y críticos.,-27.314882,-3.923567
30,Artes_y_Entretenimiento,El estreno del documental reunió a personalidades del cine y la televisión.,-20.99468,7.802732
31,Artes_y_Entretenimiento,El diseñador de vestuario creó trajes originales para el elenco de la serie.,-24.572021,3.700269
32,Artes_y_Entretenimiento,La interpretación del monólogo recibió varios minutos de ovación.,-19.820211,11.09481
